step,trial_0,trial_1,trial_2,mean,std,best
2000.000,272.336,272.439,272.196,272.324,0.100,272.324
4000.000,194.077,194.244,194.204,194.175,0.071,194.175
6000.000,242.625,243.943,243.373,243.314,0.540,194.175
8000.000,178.100,178.403,178.926,178.476,0.341,178.476
10000.000,174.329,173.936,173.902,174.055,0.194,174.055
12000.000,174.316,175.588,173.906,174.603,0.716,174.055
14000.000,150.921,151.189,151.415,151.175,0.202,151.175
16000.000,214.323,214.735,214.407,214.488,0.178,151.175
18000.000,179.056,180.165,178.358,179.193,0.744,151.175
20000.000,136.548,137.283,136.269,136.700,0.428,136.700
22000.000,147.936,148.729,148.086,148.250,0.344,136.700
24000.000,131.419,131.527,130.821,131.256,0.310,131.256
26000.000,122.986,122.091,122.393,122.490,0.371,122.490
28000.000,138.648,138.078,138.814,138.513,0.315,122.490
30000.000,130.013,129.792,130.238,130.014,0.182,122.490
32000.000,176.642,176.592,176.511,176.582,0.054,122.490
34000.000,155.763,156.018,154.986,155.589,0.439,122.490
36000.000,117.242,117.429,117.545,117.405,0.125,117.405
38000.000,153.311,154.431,153.438,153.727,0.501,117.405
40000.000,138.001,137.561,138.462,138.008,0.368,117.405
42000.000,121.691,121.571,121.350,121.537,0.141,117.405
44000.000,110.572,110.520,110.728,110.607,0.088,110.607
46000.000,132.906,132.372,132.652,132.643,0.218,110.607
48000.000,132.546,131.460,132.361,132.122,0.475,110.607
50000.000,141.896,142.514,141.405,141.938,0.454,110.607
52000.000,113.896,114.003,113.250,113.716,0.333,110.607
54000.000,105.103,105.810,106.480,105.798,0.562,105.798
56000.000,112.017,112.206,111.760,111.994,0.183,105.798
58000.000,123.333,124.400,123.681,123.805,0.444,105.798
60000.000,102.407,102.131,102.150,102.229,0.126,102.229
62000.000,118.131,117.467,118.451,118.017,0.410,102.229
64000.000,110.186,110.075,110.589,110.283,0.221,102.229
66000.000,108.695,108.696,108.953,108.781,0.121,102.229
68000.000,115.221,115.203,115.508,115.311,0.140,102.229
70000.000,113.066,113.274,111.608,112.649,0.741,102.229
72000.000,100.899,100.743,100.376,100.673,0.219,100.673
74000.000,105.234,106.226,105.169,105.543,0.484,100.673
76000.000,106.550,106.595,106.634,106.593,0.034,100.673
78000.000,87.038,87.195,87.002,87.078,0.084,87.078
80000.000,97.786,97.908,97.596,97.763,0.128,87.078
82000.000,121.285,120.811,121.888,121.328,0.441,87.078
84000.000,93.585,94.487,94.375,94.149,0.402,87.078
86000.000,84.781,85.553,84.975,85.103,0.328,85.103
88000.000,69.382,69.258,69.435,69.358,0.074,69.358
90000.000,59.578,59.425,59.999,59.667,0.243,59.667
92000.000,56.114,55.764,55.765,55.881,0.165,55.881
94000.000,55.412,55.445,56.233,55.697,0.379,55.697
96000.000,47.116,47.050,46.594,46.920,0.232,46.920
98000.000,50.052,50.136,50.323,50.170,0.113,46.920
100000.000,58.550,58.375,58.485,58.470,0.072,46.920
102000.000,44.437,44.296,44.106,44.280,0.136,44.280
104000.000,41.899,42.384,42.197,42.160,0.200,42.160
106000.000,39.029,39.194,39.083,39.102,0.069,39.102
108000.000,42.637,42.528,42.269,42.478,0.154,39.102
110000.000,41.804,41.304,41.459,41.522,0.209,39.102
112000.000,36.340,36.595,36.276,36.404,0.138,36.404
114000.000,34.840,34.813,34.128,34.594,0.330,34.594
116000.000,42.192,41.661,41.749,41.867,0.232,34.594
118000.000,32.462,32.370,32.374,32.402,0.042,32.402
120000.000,37.327,38.105,37.490,37.641,0.335,32.402
122000.000,63.693,63.850,62.861,63.468,0.434,32.402
124000.000,34.873,34.819,35.228,34.973,0.181,32.402
126000.000,42.270,41.624,41.982,41.959,0.264,32.402
128000.000,34.131,34.569,34.131,34.277,0.206,32.402
130000.000,29.496,29.285,29.941,29.574,0.273,29.574
132000.000,32.280,31.097,31.955,31.777,0.499,29.574
134000.000,31.853,32.684,32.277,32.272,0.339,29.574
136000.000,31.239,30.895,31.088,31.074,0.141,29.574
138000.000,30.122,29.183,29.385,29.563,0.404,29.563
140000.000,30.776,30.856,30.765,30.799,0.041,29.563
142000.000,29.531,28.907,29.495,29.311,0.286,29.311
144000.000,33.812,33.964,34.326,34.034,0.215,29.311
146000.000,27.386,27.914,27.997,27.766,0.271,27.766
148000.000,31.650,31.542,31.561,31.585,0.047,27.766
150000.000,32.030,32.315,32.231,32.192,0.120,27.766
152000.000,29.052,29.713,29.665,29.477,0.301,27.766
154000.000,34.300,34.714,34.372,34.462,0.180,27.766
156000.000,28.421,28.386,28.492,28.433,0.044,27.766
158000.000,31.584,31.101,31.968,31.551,0.355,27.766
160000.000,30.623,30.685,30.308,30.539,0.165,27.766
162000.000,26.448,26.454,26.138,26.346,0.147,26.346
164000.000,32.953,32.985,32.946,32.961,0.017,26.346
166000.000,28.116,27.360,27.349,27.608,0.359,26.346
168000.000,30.487,30.620,30.633,30.580,0.066,26.346
170000.000,24.030,24.274,24.439,24.248,0.168,24.248
172000.000,26.420,26.558,26.328,26.435,0.094,24.248
174000.000,24.124,24.239,24.448,24.270,0.134,24.248
176000.000,34.265,34.931,35.169,34.788,0.382,24.248
178000.000,23.967,23.908,24.018,23.964,0.045,23.964
180000.000,25.988,26.211,26.328,26.176,0.141,23.964
182000.000,24.463,24.783,24.392,24.546,0.170,23.964
184000.000,26.433,26.037,26.715,26.395,0.278,23.964
186000.000,33.039,33.084,33.148,33.091,0.045,23.964
188000.000,24.043,24.454,24.208,24.235,0.169,23.964
190000.000,26.896,26.473,26.743,26.704,0.175,23.964
192000.000,26.633,26.527,26.562,26.574,0.044,23.964
194000.000,24.760,24.776,25.071,24.869,0.143,23.964
196000.000,29.819,29.520,29.859,29.733,0.151,23.964
198000.000,24.204,23.994,24.151,24.116,0.089,23.964
200000.000,27.012,27.172,26.956,27.047,0.091,23.964
