step,trial_0,trial_1,trial_2,mean,std,best
2000.000,181.986,182.468,181.948,182.134,0.237,182.134
4000.000,78.334,78.114,78.006,78.152,0.137,78.152
6000.000,56.383,56.889,55.801,56.358,0.445,56.358
8000.000,41.647,41.809,41.463,41.640,0.141,41.640
10000.000,40.170,40.528,40.457,40.385,0.155,40.385
12000.000,37.043,37.191,36.935,37.056,0.105,37.056
14000.000,34.916,34.629,34.276,34.607,0.262,34.607
16000.000,30.725,30.830,30.470,30.675,0.151,30.675
18000.000,30.744,30.699,31.017,30.820,0.141,30.675
20000.000,26.652,26.462,26.326,26.480,0.134,26.480
22000.000,27.259,26.974,26.996,27.076,0.129,26.480
24000.000,23.932,24.554,24.471,24.319,0.276,24.319
26000.000,26.369,25.790,25.890,26.016,0.253,24.319
28000.000,23.926,23.851,24.115,23.964,0.111,23.964
30000.000,21.646,21.675,21.434,21.585,0.108,21.585
32000.000,23.585,23.649,23.602,23.612,0.027,21.585
34000.000,21.441,21.299,21.362,21.367,0.058,21.367
36000.000,22.252,22.211,22.563,22.342,0.157,21.367
38000.000,19.285,19.030,18.755,19.023,0.217,19.023
40000.000,18.699,19.286,18.767,18.917,0.262,18.917
42000.000,17.934,18.232,18.076,18.081,0.122,18.081
44000.000,20.173,20.612,20.443,20.409,0.181,18.081
46000.000,20.309,20.073,19.840,20.074,0.191,18.081
48000.000,20.369,20.115,19.950,20.144,0.172,18.081
50000.000,18.294,18.142,18.072,18.169,0.093,18.081
52000.000,21.489,21.071,21.437,21.333,0.186,18.081
54000.000,18.527,18.237,18.211,18.325,0.143,18.081
56000.000,18.650,18.184,18.069,18.301,0.251,18.081
58000.000,19.028,19.252,18.850,19.043,0.164,18.081
60000.000,18.002,18.035,17.538,17.858,0.227,17.858
62000.000,19.493,19.385,20.184,19.687,0.354,17.858
64000.000,21.525,21.821,21.437,21.595,0.164,17.858
66000.000,16.697,16.973,16.728,16.799,0.124,16.799
68000.000,17.816,17.913,17.802,17.843,0.050,16.799
70000.000,17.890,17.917,17.937,17.915,0.019,16.799
72000.000,15.109,15.459,15.157,15.242,0.155,15.242
74000.000,17.946,17.579,18.180,17.902,0.247,15.242
76000.000,18.943,19.385,19.269,19.199,0.187,15.242
78000.000,15.589,16.208,16.077,15.958,0.266,15.242
80000.000,16.817,16.579,16.803,16.733,0.109,15.242
82000.000,16.338,16.458,16.371,16.389,0.051,15.242
84000.000,16.735,16.608,16.581,16.641,0.067,15.242
86000.000,16.049,16.016,15.767,15.944,0.126,15.242
88000.000,16.225,16.056,16.371,16.217,0.129,15.242
90000.000,16.732,16.608,16.990,16.777,0.159,15.242
